Participant,Condition,50-250ms_ch3,50-250ms_ch4,50-250ms_ch12,50-250ms_ch13,50-250ms_mean_over_channels,250-400ms_ch3,250-400ms_ch4,250-400ms_ch12,250-400ms_ch13,250-400ms_mean_over_channels
WS012,low_trial_1,1.8777809,2.7476015,2.024731,2.475967,2.28152,-0.2842113,0.3793075,0.9452198,-0.6250762,0.10380995
WS012,low_trial_2,1.3080388,1.183863,0.6347382,1.9038194,1.2576149,0.34661555,0.18300201,0.56108445,-0.09479963,0.2489756
WS012,med_trial_1,-0.042368222,0.41695306,-0.763497,0.9484973,0.13989627,0.74151844,0.50470805,1.4868747,-0.09865097,0.6586126
WS012,med_trial_2,-0.08006856,-0.25018787,-0.47725502,0.41761327,-0.097474545,-0.6448958,-0.37255287,-0.51747864,-0.59944034,-0.5335919
WS012,high_trial_1,-0.46410203,-0.355596,0.45773712,-1.1714312,-0.38334802,-0.74500597,-0.8611371,-0.36485505,-1.2136261,-0.79615605
WS012,high_trial_2,0.5555976,0.35613373,1.1645973,-0.6736968,0.350658,-0.014459798,0.06041159,-0.101159565,0.4333694,0.0945404
WS013,low_trial_1,-0.6336593,-0.83044106,-0.29071355,-1.104766,-0.714895,-1.1490438,-0.5692048,-0.97443813,-0.6601915,-0.8382196
WS013,low_trial_2,0.40534127,-0.0340262,-0.50795037,0.5420736,0.101359576,-2.291647,-2.994314,-2.159802,-2.9696705,-2.6038585
WS013,med_trial_1,-0.4619579,-0.37220278,-1.197742,0.025435898,-0.5016167,-0.6590364,0.20101564,-0.5831344,0.14124279,-0.22497807
WS013,med_trial_2,0.595113,0.33983958,0.8704298,0.21061337,0.50399894,-1.9606901,-1.1173408,-2.0194786,-1.2634987,-1.590252
WS013,high_trial_1,2.8826232,1.6073673,2.0507193,2.3478897,2.2221498,0.94432944,0.25553107,1.3913906,0.2978983,0.72228736
WS013,high_trial_2,-0.111945264,-0.010052242,-0.2683323,0.094912484,-0.07385433,-0.30801272,-1.1262205,-0.56446856,-0.8331495,-0.7079628
WS014,low_trial_1,0.8511477,0.7889176,0.49543792,0.6656789,0.70029557,0.8213859,0.6782734,0.4781731,0.6554609,0.65832335
WS014,low_trial_2,1.0491192,0.66556007,0.3281473,0.6835869,0.6816034,-0.6187525,-0.16212314,0.70677364,-0.3840742,-0.11454405
WS014,med_trial_1,0.33797616,-0.10840847,-0.065989524,-0.113618195,0.012489989,0.9519188,1.1287746,1.6716795,0.850207,1.150645
WS014,med_trial_2,-2.878038,-1.9072304,-1.6691736,-1.587239,-2.0104203,0.20223139,0.026871657,-0.03611517,0.007393938,0.050095454
WS014,high_trial_1,-0.42352918,-0.3002923,-0.877982,0.16640867,-0.35884872,0.89116186,0.47072008,1.3124133,-0.21811354,0.6140455
WS014,high_trial_2,-1.6901921,-1.2125531,-1.784602,-0.79578173,-1.3707823,-1.8589416,-1.1602086,-0.75102204,-1.336682,-1.2767136
WS015,low_trial_1,-0.39189062,1.5962689,0.38042328,0.8288969,0.6034246,-0.5048583,-2.019762,-0.8464732,-1.2294902,-1.1501459
WS015,low_trial_2,-0.12793806,0.6763587,0.45252204,0.53291994,0.38346565,-0.78770566,-1.1367728,-1.0495683,-0.6222312,-0.8990695
WS015,med_trial_1,1.3566375,1.074459,0.69277155,1.4147664,1.1346586,-0.29417306,-0.91561097,-1.4305242,-0.39796472,-0.7595683
WS015,med_trial_2,0.1890962,0.6925921,0.66767126,0.009628045,0.3897469,0.38009486,-0.07198524,-0.6715673,0.90112066,0.13441575
WS015,high_trial_1,0.7378054,1.2525576,1.1877875,0.46183223,0.90999573,-1.1110415,-1.4644504,-1.2593431,-0.8155342,-1.1625923
WS015,high_trial_2,1.9765153,2.463581,2.7196233,1.5953413,2.1887653,2.5194445,2.4975328,2.1928306,3.4511683,2.665244
