"Participant","Condition","50-250ms_mean_over_channels","250-400ms_mean_over_channels","Time_Window","Channel","HEP_mean_value","Subject"
"WS003","high_trial_1",-1.5041578,-0.5410121,"250-400ms","ch3",-0.43145823,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"250-400ms","ch4",-0.6839325,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"250-400ms","ch12",-0.6116603,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"250-400ms","ch13",-0.4369974,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"50-250ms","ch3",-0.37311786,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"50-250ms","ch4",-0.33006412,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"50-250ms","ch12",-0.30408207,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"50-250ms","ch13",-0.39126286,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"250-400ms","ch3",-1.4101216,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"250-400ms","ch4",-0.76889753,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"250-400ms","ch12",-1.1786513,"WS003"
"WS003","high_trial_2",-0.34963173,-1.0690677,"250-400ms","ch13",-0.91860056,"WS003"
"WS004","low_trial_1",-1.4952606,0.6016263,"50-250ms","ch3",-1.837294,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"50-250ms","ch4",-1.2898082,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"50-250ms","ch12",-1.8326029,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"50-250ms","ch13",-1.0213374,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"250-400ms","ch3",0.6992019,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"250-400ms","ch4",0.66982865,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"250-400ms","ch12",0.28043535,"WS004"
"WS004","low_trial_1",-1.4952606,0.6016263,"250-400ms","ch13",0.7570393,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"50-250ms","ch3",0.9589538,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"50-250ms","ch4",0.87900794,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"50-250ms","ch12",0.8701782,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"50-250ms","ch13",0.88264006,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"250-400ms","ch3",0.8738597,"WS004"
